,title,artist,url,participant,playlist_type
11,The Christmas Song (Merry Christmas To You),Nat King Cole,youtube.com/watch?v=1Jp3XIqTR2w&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=12,JMCG,relaxing
12,"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",Mountain Apple Company Inc,youtube.com/watch?v=V1bFr2SWP1I&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=13,JMCG,relaxing
13,What A Wonderful World,ART KING TV ,youtube.com/watch?v=KVPuxCQ5v0k&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=14,JMCG,relaxing
14,What a Wonderful World,Louis Armstrong,youtube.com/watch?v=vAl6qvGPuN8&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=15,JMCG,relaxing
15,White Christmas,Bing Crosby,youtube.com/watch?v=t_xq3Bj_tas&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=16,JMCG,relaxing
16,Christmas Time Is Here,Vince Guaraldi,youtube.com/watch?v=MDr9DJDVNNE&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=17,JMCG,relaxing
17,O Holy Night,Nat King Cole,youtube.com/watch?v=N-QcYDP7SDU&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=18,JMCG,relaxing
18,"Silver And Gold (From ""Rudolph The Red-Nosed Reindeer"" Soundtrack)",Burl Ives,youtube.com/watch?v=7t6DhAkhpq8&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=19,JMCG,relaxing
19,Let It Be (Remastered 2009),The Beatles,youtube.com/watch?v=QDYfEBY9NM4&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=20,JMCG,relaxing
20,Variations on the Kanon,George Winston,youtube.com/watch?v=x2CE5BZVk40&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=21,JMCG,relaxing
21,Skating,Vince Guaraldi,youtube.com/watch?v=CSnfgs6NJ8o&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=22,JMCG,relaxing
22,"Main Title ""Somewhere in My Memory"" (From ""Home Alone"") (Voice)",John Williams,youtube.com/watch?v=b27DylO-ucw&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=23,JMCG,relaxing
23,Star of Bethlehem (Instrumental),John Williams,youtube.com/watch?v=KIUtb696uhs&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=24,JMCG,relaxing
24,O Holy Night,John Williams,youtube.com/watch?v=TW1lHKDhWKc&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=25,JMCG,relaxing
25,Somewhere in My Memory (Chorus & Orchestra Version),John Williams,youtube.com/watch?v=rzsEsMwlsyE&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=26,JMCG,relaxing
26,Believe,Josh Groban,youtube.com/watch?v=3Avycrez66o&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=27,JMCG,relaxing
27,Suite from the Polar Express,Alan Silvestri,youtube.com/watch?v=1IhfihSA33k&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=28,JMCG,relaxing
28,When Christmas Comes to Town,Matthew Hall,youtube.com/watch?v=c5S2ae4YVmA&list=PLZEl0b5BNrnEl4-qtxMPqdvW0dPkWVAWF&index=29,JMCG,relaxing
0,Canon in D (Pachelbel's Canon) - Cello & Piano [BEST WEDDING VERSION],Brooklyn Duo,youtube.com/watch?v=Ptk_1Dc2iPY&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=1,GHER,relaxing
1,Air on a G String,HAUSER,youtube.com/watch?v=CoXajguwmk0&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=2,GHER,relaxing
2,The Beautiful Danube,Vienna State Opera Orchestra,youtube.com/watch?v=q7Kj-s81Xvc&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=3,GHER,relaxing
3,1 Hour Relaxing Piano Music,Great Relaxing Piano,youtube.com/watch?v=OK-Wi8B1EfM&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=4,GHER,relaxing
4,The Sound of Silence (Acoustic Version),Simon & Garfunkel,youtube.com/watch?v=-eqJGVl0Pr0&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=5,GHER,relaxing
5,Let It Be,The Beatles,youtube.com/watch?v=CTcb_33-DiI&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=6,GHER,relaxing
6,Blowin' in the Wind,Bob Dylan,youtube.com/watch?v=KJBbX0jzM2c&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=7,GHER,relaxing
7,"The Nutcracker Suite, Op. 71A - Valse Des Fleurs",Pyotr Ilyich Tchaikovsky,youtube.com/watch?v=0wpBXaB6nes&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=8,GHER,relaxing
8,"Tchaikovsky: The Nutcracker (Suite) , Op. 71a, TH. 35 - III. Valse des fleurs (Tempo di Valse)",Berlin Philharmonic Orchestra,youtube.com/watch?v=P3Qe7aPGbjA&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=9,GHER,relaxing
9,"Tchaikovsky: Swan Lake (Suite) , Op. 20a, TH. 219 - I. Scene - Swan Theme",Berlin Philharmonic Orchestra,youtube.com/watch?v=VCk1yEikQsY&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=10,GHER,relaxing
10,Girl from Ipanema,Klazz Brothers,youtube.com/watch?v=BZ3RCvBizys&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=11,GHER,relaxing
11,Mondschein I,Klazz Brothers,youtube.com/watch?v=k19fPJzQSWc&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=12,GHER,relaxing
12,Hasta la vista Mozart (Live),Klazz Brothers,youtube.com/watch?v=g2Q4Y3lKIpc&list=PLZEl0b5BNrnHHvq3uG_2fE4-LxOTo8t-W&index=13,GHER,relaxing
0,Mozart: Symphony No. 29 in A Major K.186a (K. 201) - Allegro moderato,Leonard Bernstein,youtube.com/watch?v=22xfYppK-Jc&list=PLZEl0b5BNrnFtddsakBmlApKu3Zpwjq7e&index=1,GHER,energizing
1,"Beethoven: Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"" - III. Rondo. Allegro (Live)",Krystian Zimerman,youtube.com/watch?v=JiUWMXfsO9Q&list=PLZEl0b5BNrnFtddsakBmlApKu3Zpwjq7e&index=2,GHER,energizing
